id,name,ticker,trading_type,settlement_type,enabled,description
265,Aluar,ALUA,STOCK,ONE_WORKING_DAY,true,"Aluar Aluminio Argentino S.A.I.C. es una compañía argentina dedicada a la producción de aluminio. Las operaciones de Aluar comprenden desde la obtención de aluminio en estado líquido hasta la fabricación de productos elaborados que se destinan a las industrias del transporte, packaging, construcción, electricidad, medicina y tratamiento de aguas. Además, la Compañía brinda servicios adicionales, tales como carpintería, asistencia técnica y provisión de documentos, capacitación corporativa y distribución de productos."
274,Banco Bbva,BBAR,STOCK,ONE_WORKING_DAY,true,"BBVA Banco Francés S.A. es un proveedor de servicios financieros a grandes corporaciones, pequeñas y medianas empresas (PYMES) y a clientes particulares. El Banco se centra en el sector financiero a través de sus actividades relacionadas con la banca y las finanzas, administración de fondos de pensiones y seguros. El Banco tiene todas sus operaciones, bienes y clientes ubicados en Argentina. Como parte de su negocio, el Banco realiza operaciones de mercados de capital y de valores directamente en el mercado extrabursátil e indirectamente en la Bolsa de Comercio de Buenos Aires (BCBA). Su banca corporativa se divide por industrias, como del consumo, industrias pesadas y energía. Las líneas de negocio del Banco son banca minorista, banca empresarial y banca corporativa y de inversión. La banca empresarial ofrece préstamos a largo y corto plazo. La línea de negocios de banca corporativa y de inversión refiere a operaciones de comercio exterior y asesoría en fusiones y adquisiciones y transacciones del mercado de capitales."
395,Banco Hipotecario,BHIP,STOCK,ONE_WORKING_DAY,true,"Considerar que la lamina mínima de operación es de 30 valores nominales. Banco Hipotecario S.A es una entidad financiera argentina dedica en gran medida al sector bancario. Entre los productos que ofrece se encuentran cuentas corrientes y de ahorro, préstamos, tarjetas de crédito y débito, hipotecas,  entre otros."
276,Banco Macro,BMA,STOCK,ONE_WORKING_DAY,true,"Banco Macro S.A. ofrece productos y servicios bancarios tradicionales a empresas, lo que incluye las que operan en las economías regionales, así como a personas físicas. La entidad tiene aproximadamente dos categorías de clientes, tales como clientes minoristas (incluye personas físicas) y clientes corporativos (incluye pequeñas, medianas y grandes empresas y grandes corporaciones). Además, presta servicios a más de cuatro gobiernos provinciales. La entidad ofrece a sus clientes corporativos productos y servicios bancarios tradicionales, tales como depósitos, préstamos (incluidos los servicios de sobregiro), descuento de cheques diferidos y factoraje, préstamos con garantía y líneas de crédito para la financiación de servicios de comercio internacional y gestión de efectivo."
266,Bolsas y Mercados Argentinos,BYMA,STOCK,ONE_WORKING_DAY,true,"Bolsas Y Mercados Argentinos SA (BYMA) es una compañía con sede en Argentina, dedicada a la operación de bolsa de valores. La Compañía ofrece servicios, que integran el proceso de transacciones en su mercado digital de valores. Su gama de servicios incluye gestión de órdenes, negociaciones primarias y secundarias, monitoreo del mercado, gestión de contratos futuros y opciones, administración de riesgos y soluciones de tecnología de información (TI), entre otros. La Compañía, a través de Caja de Valores S.A., es responsable de los servicios de custodia."
267,Central Puerto,CEPU,STOCK,ONE_WORKING_DAY,true,Central Puerto SA es una empresa con sede en Argentina perteneciente al sector energético. Su objeto es desarrollar inversiones orientadas al mercado energético nacional e internacional. La Empresa y sus filiales están organizadas en cuatro unidades de negocio para llevar a cabo sus actividades: Generación de energía eléctrica de fuentes convencionales y su comercialización; Generación de energía eléctrica de fuentes renovables y su comercialización; Transporte y distribución de gas natural; Gerenciamiento de operación de centrales térmicas.
278,Sociedad Comercial del Plata,COME,STOCK,ONE_WORKING_DAY,true,"Sociedad Comercial del Plata S.A. es una compañía holding con sede en Argentina, con presencia en sectores estratégicos, tales como construcción, agronegocios, entretenimiento, energía, transporte, infraestructura y bienes raíces. Opera a través de cuatro segmentos: Construcción, Petróleo y Derivados, Entretenimiento y Otros. El segmento de Construcción produce materiales de construcción, como pisos y revestimientos cerámicos, ladrillos, tejas y vidrio de alto rendimiento. El segmento de petróleo y derivados incluye las actividades de exploración y producción de transporte de petróleo y gas y gas. El segmento de Entretenimiento gestiona el parque de atracciones Parque de la Costa. El segmento Otros ofrece servicios de transporte de mercancias por ferrocarril, desarrolla proyectos inmobiliarios y de reforestación, desarrolla alimentos y nutracéuticos también para animales, y participa activamente en la industria de los biocombustibles, entre otros. La empresa opera principalmente a nivel nacional."
280,Cresud,CRES,STOCK,ONE_WORKING_DAY,true,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria es una compañía agrícola dedicada a la producción de productos básicos agrícolas con presencia en el sector agrícola de Brasil así como en otros países de América Latina. Además, la compañía arrienda tierras a terceros y presta servicios de agencia y agroindustriales, que incluyen una planta empacadora de carne. Asimismo, opera en dos áreas comerciales, Agrícola e Inversiones y Desarrollo de Propiedades. El sector Agrícola incluye ocho segmentos: Cultivos, Ganado, Lácteos, Caña de Azúcar, Alquileres Agrícolas y Servicios, Transformación y Ventas de Tierra, Agroindustrial y Otros. El sector de Inversiones y Desarrollo de Propiedades de la compañía se compone de: Propiedades de Centros Comerciales, Oficinas, Ventas y Desarrollo, Hoteles,, y Operaciones Financieras y Otros. Los principales cultivos de la compañía incluyen soja, trigo, maíz y girasol."
279,Cablevisión Holding,CVH,STOCK,ONE_WORKING_DAY,true,"La cantidad mínima para comprar o vender acciones de Cablevisión Holding SA (CVH) es de 3 valores nominales. Cablevision Holdings SA es una empresa con sede en Argentina, dedicada al sector de telecomunicaciones. La Empresa se centra en el desarrollo de la infraestructura y la prestación de servicios convergentes de telecomunicaciones. La Empresa opera a través de tres marcas: Cablevisión, Fibertel y Nextel. Cablevisión es un proveedor de servicios por cable con operaciones en Argentina y Uruguay. Cablevisión ofrece televisión (TV) digital, pago por visión TV, plataforma de vídeo bajo demanda y canales de alta definición, entre otros. Fibertel ofrece acceso a Internet con conexión inalámbrica y de banda ancha en Argentina. Fibertel también ofrece soluciones de telecomunicaciones, como centros de datos y soluciones en nube, a clientes corporativos. Nextel es un proveedor de servicios móviles en Argentina."
454,Ecogas,ECOG,STOCK,ONE_WORKING_DAY,true,Considerar que la lámina mínima de operación es de 10 valores nominales.Ecogas es una empresa argentina dedicada a la distribución del servicio de gas natural en distintas provincias. Ecogas está conformada por dos empresas: Distribuidora de Gas del Centro S.A. y Distribuidora de Gas Cuyana S. A. Entre las dos brindan el servicio a 976.790 clientes.
281,Edenor,EDN,STOCK,ONE_WORKING_DAY,true,Empresa Distribuidora y Comercializadora Norte S.A. es una empresa de servicio público. La empresa se dedica a la distribución de electricidad en Argentina. Tiene una concesión para distribuir electricidad en la parte noroeste del área metropolitana del Gran Buenos Aires y en la parte norte de la Ciudad de Buenos Aires.
268,Grupo Financiero Galicia,GGAL,STOCK,ONE_WORKING_DAY,true,"Grupo Financiero Galicia S.A. es una sociedad de servicios financieros. Su segmento comercial de Banca representa el Banco Galicia consolidado línea por línea con el Banco Galicia Uruguay S.A. (Galicia Uruguay). Opera el segmento de Tarjetas de Crédito Regionales a través de Tarjetas Regionales S.A. y sus filiales. Su segmento comercial CFA extiende préstamos personales sin garantía a segmentos de ingresos bajos y medios de la población argentina. La Compañía opera en el segmento de Seguros a través de Sudamericana Holding S.A. y sus filiales. Su segmento Otros Negocios de Grupo Galicia incluyen los resultados de Galicia Warrants S.A., Galicia Administradora de Fondos S.A., Sociedad Gerente de Fondos Comunes de Inversión y Net Investment S.A."
286,Irsa,IRSA,STOCK,ONE_WORKING_DAY,true,"Inversiones y Representaciones Sociedad Anónima (IRSA) es una sociedad dedicada a la gestión de cartera. a empresa invierte tanto en su propio nombre como a través de entidades receptoras de fondos de inversiones que operan en diversos sectores de la economía mundial. Los sectores claves de la compañía abarcan Telecomunicaciones, Bienes Raíces, Mercado Agrícola, Seguros y Servicios Financieros. La cantidad mínima para comprar o vender acciones de Inversiones y Representaciones SA (IRSA) es de 10 valores nominales."
269,Loma Negra,LOMA,STOCK,ONE_WORKING_DAY,true,"Loma Negra Compañía Industrial Argentina S.A. es una empresa con sede en Argentina, que participa en el segmento de hormigón y cemento. La Empresa se centra en la fabricación y comercialización de cemento y productos relacionados, tales como cal, cemento de albañilería, así como hormigón y agregados."
396,Metrogas,METR,STOCK,ONE_WORKING_DAY,true,Metrogas es una empresa argentina cuya principal actividad se relaciona con la distribución de gas natural.
